ID,TITLE,RELEASE YEAR,GENRE,DURATION,COUNTRY,CONTENT RATING,DIRECTOR,INCOME,VOTES,SCORE
tt0119698,Mononoke-hime,19/05/2000,"Animation, Adventure, Fantasy",134,Japan,PG-13,Hayao Miyazaki,"$169,785,629",331.05,8
tt0087843,Once Upon a Time in America,28/09/1984,"Crime, Drama",229,US,R,Sergio Leone,"$5,472,914",302.32,8
tt0361748,Inglourious Basterds,02/10/2009,"Adventure, Drama, War",153,Germany,R,Quentin Tarantino,"$321,455,689",1229.96,8
tt0169547,American Beauty,21/01/2000,Drama,122,US,R,Sam Mendes,"$356,296,601",1049.01,8
tt0112573,Braveheart,01/12/1995,"Biography, Drama, History",178,US,R,Mel Gibson,"$213,216,216",941.68,7.9
tt0086190,Star Wars: Episode VI - Return of the Jedi,21/10/1983,"Action, Adventure, Fantasy",131,US,PG,Richard Marquand,"$475,347,111",928.04,7.9
tt0105236,Reservoir Dogs,09/10/1992,"Crime, Drama, Thriller",99,US,R,Quentin Tarantino,"$2,889,963",896.55,7.9
tt0338013,Eternal Sunshine of the Spotless Mind,22/10/2004,"Drama, Romance, Sci-Fi",108,US,R,Michel Gondry,"$74,036,715",889.88,7.9
tt0114709,Toy Story,22/03/1996,"Animation, Adventure, Comedy",81,US,G,John Lasseter,"$404,265,438",864.46,7.9
tt0119217,Good Will Hunting,06/03/1998,"Drama, Romance",126,US,R,Gus Van Sant,"$225,933,435",837.38,7.8
tt0208092,Snatch,16/03/2001,"Comedy, Crime",104,UK,R,Guy Ritchie,"$83,557,872",766.59,7.8
tt0180093,Requiem for a Dream,15/12/2000,Drama,102,US,R,Darren Aronofsky,"$7,390,108",748.29,7.8
tt0435761,Toy Story 3,07/07/2010,"Animation, Adventure, Comedy",103,US,G,Lee Unkrich,"$1,066,969,703",739.72,7.8
tt0211915,Le fabuleux destin d'Amélie Poulain,25/01/2002,"Comedy, Romance",122,France,R,Jean-Pierre Jeunet,"$173,924,742",690.48,7.7
tt0090605,Aliens,24/09/1986,"Action, Adventure, Sci-Fi",137,US,R,James Cameron,"$131,384,634",63.95,7.7
tt0062622,2001: A Space Odyssey,12/12/1968,"Adventure, Sci-Fi",149,UK,G,Stanley Kubrick,"$68,989,547",587.87,7.6
tt0086879,Amadeus,15/02/1985,"Biography, Drama, History",160,US,R,Milos Forman,"$52,066,791",361.03,7.6
tt2106476,Jagten,22/11/2012,Drama,115,Denmark,R,Thomas Vinterberg,"$15,843,274",269.62,7.5
tt0056172,Lawrence of Arabia,29/10/1963,"Adventure, Biography, Drama",228,UK,PG,David Lean,"$45,710,874",261.5,7.5
tt0070735,The Sting,21/03/1974,"Comedy, Crime, Drama",129,US,PG,George Roy Hill,"$156,000,000",236.28,7.5
tt0082096,Das Boot,18/03/1982,"Adventure, Drama, Thriller",149,Germany,R,Wolfgang Petersen,"$11,487,676",226.43,7.5
tt1832382,Jodaeiye Nader az Simin,21/10/2011,Drama,123,Iran,PG-13,Asghar Farhadi,"$22,926,076",214.16,7.4
